 -27, -15,  18,  12,   4,  11,  13, -12
  19,  30,  10,  -6,   0,  10,  13,  12
  -6,   0,  -2,  26,   5, -11, -19, -17
   9,  13, -24, -57,  -7,  -1, -12,   3
  12,   9,  -2,   3,   0,   6,  39,  20
  14,   0,  11,  15,   2,  -5,   1,  -4
 -24, -11,  -9,   0,   0,   2,  16,  -1
 -15,   1,   7,   8,   5,  10,  -5,  -9
  17,  -3, -12,  -4,  -8,  -7,  -5,  16
   3,  -3, -12, -26,  -1,   2,   4,  12
 -28,  -3,   0,   0,  -1,  -5, -26, -43
  29,   0,  17,   5,  -3,  -6,  10,  -3
 -15,  -8, -19, -22,  -6,  -8, -19, -14
 -22,  -7,  10,  17,   1,   1,   0, -18
  16,  -8,   5, -11,  -1,   7,  15,  36
 -15,  13,  -1,  16,   4,  -2,   0,   3
  -5,  17,  -4,  -3,   0,  -7, -29, -30
 -12, -31,  -7,  -2,  -2,  -1,   6,   9
  -7,  21, -21, -14,  -4,  -7, -11,   4
  32,   2,  20,  12,  -5,   2, -13,   9
   8,  -6,  -3, -15,   0,  10,  28,  14
   0,  -2, -29,   3,   3,  -8, -27, -38
  -2,  -2, -29, -42,  -5,   6,  -4, -23
   4,   4,   7,   8,   1,   2,  -3,  -3
   4,   1,   7,  18,   1,  -4,  -7,  -4
 -28,   5,  -5, -19,  -7,  -4, -19, -16
  20, -16,  -5, -16,  -2,   2,   9,   6
 -24,  15,   9,  24,   9,  -5, -16,  -5
  -3,  -8, -25, -29,  -8,   5,   1,  -7
  17,  -1,  49,  25,  -3,   1,   3,   4
   5,   6,  -4, -10,  -2, -10, -17, -11
 -15, -10, -14,  -7,  -7,  -6, -30, -31
  -2,  11,  10,  -2,  10,  24,  91,  59
  -3,  -2, -17,  20,   9,   0, -24,   9
   4,  -1,   1,  -3,   1,  -3,  20,  40
 -22,  -7,  -2, -10,  -4,  -4, -31, -21
  33,  19, -31, -33,  -4,  -2, -39, -19
   5,   3,  43,  14,   0,   8,  46,  16
 -18,  -9,  -2,  16,  -3,  -5, -21, -21
  12,  17, -17,  -5,   6,   7,  28,  15
  -5, -18,  -1,   3,  -4, -11, -40, -19
 -21, -16,  -8, -25, -10, -10,   0,   7
  18,   8,  15,   5,  -2,   4,   4, -10
   4,   1,   2,   3,   4,   2, -41,  -9
 -11,  -5, -16, -14,  -9, -16,  -2,  -7
  10,   5, -23, -13,   2,  11,  49,  12
 -43,  -6, -19, -10,  -4,  -4,  26,  22
   7,  -2,  38,  29,   3,   3,  23,   6
  56,   7,   5,   7,   6,   0, -34,  -7
  -2,   8,  -7,   0,   2,   6,  12,  24
   2,   4,  10,  22,  -7,  -5, -13,  -6
   3, -17, -34, -32, -11,  -3,  17,   6
 -32,  -5,  23,  20,  -2, -13, -47, -36
   2,  -4, -31,  -5,   2,   8,  15,  -7
  35,  28,   4,  -1,   5,   1,  10,  -6
   4,  -7,  39,   7,  -7,  -9,   2,   3
 -17, -10,  -4,   2,   0,  -3,   5,  -4
  -7, -18, -28, -17,   1,  -6, -22, -18
   2,  -6,  17,  28,   1,   1,  -5,  -7
  17,  21,  -6,   5,   8,  11,  20,  28
  16,   1,   8,   4,   4,   7,  23,  33
 -33, -10, -28,  -8,  -3, -10, -42, -57
  -6,  10,  44,  -8, -13, -15, -73, -26
  25, -15, -25, -11,   3,  10,  79,  22
 -12,  -2,  14,  20,   5,   1,  10,  10
  -8,  15, -11,   3,  -1,  -6,  -8, -12
  29, -12, -24,  -3,   8,  14,   8,  28
  -5,  17,  31,  10,  -3,  -3, -23,   7
  11,  -9, -18, -32,  -7,   1,  10,  11
  28,  12,  12,  -2, -10, -10,  -2,  13
 -30,   1, -27,  -8,  11,   4,   9,   1
  -8,  -7,  15,  11,  -2,  -8, -21, -33
   0,  14,   5,  11,   4,  16,  32,  30
  22,  -5,   3,  -7,   3,  -4, -49, -13
 -20,  -4,   6,  14,   3,  -1,  52,   9
 -25, -22, -53, -39,  -2,  10,   9,   4
 -21,  -2,  35,  15,  -3, -14, -14, -22
   3,  11,  11,  10,   5,   5,  16,  50
  -5, -18, -40, -10,  -4,  -5,   0,  -5
   6,  -4,  31,   9,   1,  -2, -11,  -4
  10,   8,   5,  -3,  -3,  -5,  -1, -18
 -31, -13,  15,   4,  -1,   0, -18, -24
   5,  -8,  -2,   5,   7,   3,  -1,   1
  13,   9, -37, -25,  -5,   0,  34,  18
   2, -10,  21,  21,  -5, -10, -31, -21
   8,   7,   9,  14,   8,   4,  13,  -6
  13,   2, -14,  -7,   1,   9,   2,  23
  10,   7,  -3,  -8,  -9, -15, -33, -18
 -28,  -4,   3,  -5,   2,   8,  38,   9
  39,   9,   1,  23,   3,   5, -13, -14
 -44, -12,  19, -10,  -6, -12, -24, -22
  13,  22,   7,   1,  -2,   6,  24,  19
   3, -12, -27, -10,   1,   2,  -9,  -4
 -20,   5,   7,  12,   1,  -2,  -6, -17
   1,   3, -16,  -2,  -4, -10, -57, -33
  13,  -7,  11,  16,   6,  17,  70,  56
  10,   0, -19, -36,  -6,  -1,  -3,  -8
 -11, -12,  25,   2,  -5,  -6, -15,  22
  37,   8, -13, -11,   1,  14,  22,  32
 -36, -13, -18,   4,   3, -18, -50, -48
  -9,  15,  10,   6,  -1,   1, -20, -30
  34,   1,  -7,  -9,   4,  18,  63,  70
  -9,  -2,  25,  -3,  -3,  -9,   1, -19
   8,  11,   5,  16,  -1,  -7, -49, -23
  -5,  16, -20,   8,   9,  14,  71,  32
  -7,  -5, -17, -30,  -8, -10, -23, -12
  -6,  -1,  21,  11,  -4,   0,  11,  -2
  19,   1,   8,  19,   6,   5,  -6, -11
 -12,  -2, -15, -23,  -2, -15, -44,  -8
  -4,  -5,  23,   0,  -7,   5,  42,  -7
  30,  24,  20,  17,   2,   3,  26,  28
 -19, -22, -20, -11,  -2,  -1, -29, -24
  -1,  -7,   9,  16,   0,   3,  32,  33
 -19,  -3, -12, -10,   6,   4,   1, -10
   5,   2,  -6,  -1,   2,  -3,  -8, -13
  -3,  -1,   2,  -6,   0,   0,  -4,  14
 -12, -16,  -5,   7,  -8, -15, -43, -36
 -40, -38, -25, -13,   5,   6,  -7, -17
  -8,  36,  22, -16, -11,  -5,   8,  -9
  31,  -2,   3,  -8,  -5,  -2,  -3,  19
  26,  -1,   2,  25,  10,  12,  48,  46
  12,   6,  -9,  -1,  -2,  -1, -22, -17
 -36, -14, -13,   0,   4,  -4, -27, -32
   2,   2,  -5,  -5,   2,   2,  18,   4
  -7,  -5,  13,   3,  -5,  -3, -30, -19
  -9,   7,  -1,   6,   3,  -3, -17, -31
 -28, -23, -11,  12,  -1,  -6,  12,  43
 -25,  -2, -16, -11,  -4,  -1, -21, -29
  35,   8,  73,  13, -13,  -8, -10,  -2
   4,   9,  -7, -16,  -2,   9,  30,  37
  29,  -8, -18, -28,   2,  12,  22,  25
 -27,  -6,  -6,  11,   7,  -6, -36, -43
 -31,  -6, -31,  -4,   5,  -1,  -9, -21
  22,   1,  14,   4,  -7, -12,  -1,   6
  -7,   0,   6,  12,   2,   3, -12, -19
  -3,  -1,   3,  -1,  -3,   5,  -6,   4
   6,   6, -17,   1,   5,   7,   2,   1
 -17, -23, -19, -29, -17, -35, -54, -44
   3,  14,  34,  22,   6,  16,  42,  36
  47, -21,  13,   5,  -1,  15,  41,  49
  21,  31,  10,  -1,   3,   9,  -9,  11
   4,  -9,  -6,  17,   8,   3,   1,  -3
 -25,  -4, -19,   1,  -2, -14, -50, -51
 -33,   4,   1, -11,  -5,  -8,   9,  -3
   1, -18,  -6,   3,   1,   7,   8,   8
   8,  14, -39,   8,   4,  -3, -20, -10
  -5,  -2,  30, -11,  -9,  -3,   1,  -1
 -14,  11,   2, -15,  -7,  -4, -13, -15
  -7,  -1, -16, -31,   0,   5,  28,  -8
  14,  10,  18,  25,   1,  -7, -21,  30
  41,   4, -22,  -2,   6,   6,  38,  32,1638697602.832
   7,  10,  19,  15,   8,  18,  72,  45,1638697602.832
   4,  -1,  -8,  -5,  -5, -10, -26,  -8,1638697602.843
  19,  25,  18,   0,  -3,   0,  10,   2,1638697602.843
   4,  -4, -12,  15,  11,  12,  -3,   7,1638697602.852
   3,   9,  -8, -22,  -6, -11, -23, -11,1638697602.852
 -18, -12,  -3,   6,   4,  -2, -11,   1,1638697602.867
 -39, -10,  10,   7,   0,   8,  -2, -12,1638697602.867
  50,  16,   9,  -3,   0,   8,  34,  31,1638697602.868
  19,  -3,   1,  11,  -2,  -6, -15, -19,1638697602.869
 -53,  -6,  -2, -12,  -1,   2,  -1,  -2,1638697602.895
  40,  -1, -11,  10,   1,   9,  -2,  18,1638697602.895
 -43, -11, -38, -35,  -8, -18, -17, -60,1638697602.896
   1,   0,  44,  -7,  -9,  -4,  13,  39,1638697602.900
  -6,   1,  16,  23,   3,   0,  10,   2,1638697602.903
  27,   7,  15,   0,   5,   0,  17,   9,1638697602.903
  24,   7, -18,   4,  -1,   0, -11,  -5,1638697602.912
 -15,  -8, -16,  -4,   3,  -2,  -5, -12,1638697602.912
   7,   5,   7,   1,  -1,  -5, -29,  -8,1638697602.927
 -21,  -4,  -1,   2,   1,  -6, -13, -28,1638697602.927
  -9,   1,   8, -10,  -9,   4,   9,  21,1638697602.929
  31,   1, -28, -34,   2,   0, -12,   3,1638697602.929
 -25,  -2,  38,  23,  -7, -10, -39, -37,1638697602.951
 -24,  -2,   0,   5,   3,   3,  -8, -31,1638697602.951
 -23, -10,  -2,   4,   6,  16,  27,  25,1638697602.951
  27,  12,   6,  27,   2,  -7,   6,  25,1638697602.952
   9,  -9, -24, -18,   0,   2,   1, -13,1638697602.963
   7,  18,  -4, -16,  -1,   1,  17,   5,1638697602.963
  -2,  18,  18,  15,  -5,  -2,  -1,  -8,1638697602.972
 -31, -11,  18,  20,   4,   2, -11, -12,1638697602.972
  23,   6,  -6, -23,  -1,   4,  17,  13,1638697602.988
  -8,  -3, -16, -13, -10, -10,   2,   6,1638697602.992
 -24, -36,   3,  18,   4,  -8, -31, -13,1638697603.002
  35,  19,  -2,  -3,  -7,  -9, -21, -31,1638697603.002
  -7,  -4, -18, -10,   5,  10,  44,  48,1638697603.010
  16, -11,   0, -14,   4,  11,  12,   8,1638697603.010
  -4,   1,  27,  25,   6,  -4, -18, -17,1638697603.011
 -33,  -2,  -3,  19,  -3,  -9, -25, -37,1638697603.012
   9,  -7,   4, -18,  -5,  -1,  -1,  10,1638697603.033
  -2,  -2, -21,  -1,  -4,  -1,   4,   8,1638697603.033
 -17,  -7,   0, -13,  -2,  -7, -20, -34,1638697603.036
  -9,   0,  -3,   9,  15,   3, -15,   5,1638697603.036
   4,  11, -21,   9, -10,   4,  52,  11,1638697603.048
  31,  10,  24, -11,   0,  -1,  21,  23,1638697603.048
   1, -13,   0,  -7,  -3,  -4, -20, -17,1638697603.049
